Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment,CLV
1000,442,3,3000.183659374912,1,1,1,3,0,Lost Customers,9000.550978124737
1001,549,3,7269.341498080159,1,1,1,3,0,Lost Customers,21808.024494240475
1002,122,9,24912.48195311482,3,5,5,13,1,Loyal Customers,224212.3375780334
1003,175,7,21153.751321349726,2,4,5,11,1,Loyal Customers,148076.25924944808
1004,45,9,17662.123115150738,4,5,4,13,1,Champions,158959.10803635663
1005,94,7,16361.00783289601,3,4,4,11,3,Loyal Customers,114527.05483027207
1006,183,4,12761.708769946572,2,2,3,7,2,Lost Customers,51046.83507978629
1007,67,3,5531.257387225788,4,1,1,6,2,Others,16593.772161677363
1008,84,9,20703.547187279175,3,5,5,13,1,Loyal Customers,186331.92468551258
1009,38,7,18909.389847332786,4,4,4,12,3,Champions,132365.7289313295
1010,128,7,15794.514802927037,3,4,4,11,3,Loyal Customers,110561.60362048926
1011,103,7,10763.258721828726,3,4,2,9,3,Others,75342.81105280109
1012,227,6,24273.813905165996,2,3,5,10,1,At Risk,145642.88343099598
1013,102,4,4853.363163429717,3,2,1,6,2,Others,19413.45265371887
1014,26,3,2332.6065689652755,5,1,1,7,2,Others,6997.819706895827
1015,168,4,11227.387984259563,2,2,2,6,2,Lost Customers,44909.55193703825
1016,16,5,11984.722864326028,5,2,3,10,3,Others,59923.61432163014
1017,155,1,4895.2958712875,2,1,1,4,2,Lost Customers,4895.2958712875
1018,118,5,11581.465096328755,3,2,3,8,2,Others,57907.32548164378
1019,24,4,10799.665418903913,5,2,2,9,2,Others,43198.66167561565
1020,17,7,18849.477392246277,5,4,4,13,3,Champions,131946.34174572394
1021,1,9,23690.891485316202,5,5,5,15,1,Champions,213218.02336784583
1022,91,8,17952.46914357961,3,5,4,12,3,Loyal Customers,143619.75314863687
1023,263,6,20464.709525013433,1,3,5,9,3,At Risk,122788.25715008061
1024,177,7,14641.361001339666,2,4,3,9,3,At Risk,102489.52700937766
1025,119,4,8383.665888245921,3,2,2,7,2,Others,33534.663552983686
1026,224,5,8492.279591993036,2,2,2,6,2,Lost Customers,42461.39795996518
1027,272,5,14895.560350177331,1,2,4,7,3,Lost Customers,74477.80175088666
1028,13,2,6153.819797165828,5,1,1,7,2,Others,12307.639594331657
1029,8,7,15077.040214108321,5,4,4,13,3,Champions,105539.28149875825
1030,551,1,4376.882739962531,1,1,1,3,0,Lost Customers,4376.882739962531
1031,13,3,4352.767423088117,5,1,1,7,2,Others,13058.30226926435
1032,118,4,11733.108068754602,3,2,3,8,2,Others,46932.43227501841
1033,426,2,5888.382735155867,1,1,1,3,0,Lost Customers,11776.765470311733
1034,16,7,11718.818994704387,5,4,3,12,3,Potential Loyalists,82031.7329629307
1035,133,7,19770.14038227518,3,4,5,12,3,Loyal Customers,138390.98267592627
1036,100,5,12856.625108514496,3,2,3,8,3,Others,64283.12554257248
1037,29,8,21217.833072092915,5,5,5,15,1,Champions,169742.66457674332
1038,33,5,9871.407592331992,5,2,2,9,2,Others,49357.03796165996
1039,3,6,18161.55718720939,5,3,4,12,3,Potential Loyalists,108969.34312325635
1040,105,8,24426.558041148197,3,5,5,13,1,Loyal Customers,195412.46432918558
1041,130,5,16902.474699281753,3,2,4,9,3,Others,84512.37349640876
1042,147,4,9333.961692165993,2,2,2,6,2,Lost Customers,37335.84676866397
1043,394,5,6431.1166872803315,1,2,1,4,0,Lost Customers,32155.583436401655
1044,141,10,28402.601645958057,2,5,5,12,1,Loyal Customers,284026.01645958057
1045,70,12,19342.625570350803,4,5,5,14,1,Champions,232111.50684420962
1046,82,10,29164.088332504212,3,5,5,13,1,Loyal Customers,291640.88332504214
1047,219,7,12946.013589951592,2,4,3,9,3,At Risk,90622.09512966115
