Transaction_ID,Customer_ID,Transaction_Date,Amount
TXN_000001,1727,2023-03-07,3881.092733131275
TXN_000002,1135,2023-05-15,3782.361688342326
TXN_000003,1517,2024-03-08,1419.790171661695
TXN_000004,1758,2022-03-17,3522.8963239615464
TXN_000005,1323,2022-10-24,3330.6741142024343
TXN_000006,2220,2022-12-28,1563.6587363660706
TXN_000007,1110,2022-07-02,3646.5342689694116
TXN_000008,2138,2022-02-28,4660.19647804996
TXN_000009,1723,2023-07-06,1595.573118837948
TXN_000010,1487,2023-07-11,4902.404882713232
TXN_000011,1364,2023-02-10,1199.0052859928103
TXN_000012,1766,2023-06-11,759.7443797405311
TXN_000013,1831,2024-01-02,477.54670665357804
TXN_000014,2333,2024-02-24,1147.0484450842266
TXN_000015,1112,2022-07-06,1778.3069285821946
TXN_000016,2293,2022-01-25,3692.481710936506
TXN_000017,1319,2022-10-26,452.8537947481803
TXN_000018,1174,2022-07-11,2585.599292027402
TXN_000019,2042,2023-11-22,2641.839134485425
TXN_000020,2226,2023-07-27,1216.9208772259208
TXN_000021,1125,2022-05-11,322.73762859932464
TXN_000022,1994,2024-01-31,1203.0832082189454
TXN_000023,2490,2023-11-07,1228.9086208512908
TXN_000024,1253,2023-05-19,3471.316388394948
TXN_000025,1928,2022-07-26,1245.5193476843588
TXN_000026,1766,2022-08-26,1767.2945445391886
TXN_000027,1291,2022-07-11,332.4068090829028
TXN_000028,2175,2022-01-28,3157.3353769657383
TXN_000029,1198,2022-04-17,2423.3044045557467
TXN_000030,2222,2022-08-11,1790.350403686228
TXN_000031,1686,2023-01-15,3544.113689406029
TXN_000032,2476,2023-03-05,3442.3973027961465
TXN_000033,1781,2022-03-25,1706.7450653969665
TXN_000034,1940,2023-05-13,3576.0974908677063
TXN_000035,2203,2022-08-25,1806.2285575533592
TXN_000036,1217,2022-05-29,1187.796444320371
TXN_000037,1629,2024-03-05,3627.1662718574553
TXN_000038,1817,2023-09-04,3667.326102374893
TXN_000039,1832,2022-02-04,4342.257998298565
TXN_000040,2343,2022-04-07,2554.6268317156378
TXN_000041,1022,2022-08-21,1238.656965865395
TXN_000042,1636,2023-02-11,4200.795643082678
TXN_000043,2107,2023-06-09,955.8680380267966
TXN_000044,1710,2024-01-28,4699.206579180131
TXN_000045,2349,2023-05-04,1602.602302482967
TXN_000046,1698,2023-02-08,191.9385384787126
TXN_000047,1328,2024-02-13,1015.1549765345331
TXN_000048,2353,2022-08-11,2132.480007020328
TXN_000049,1710,2023-02-07,370.42758845447474
TXN_000050,1472,2023-03-27,2106.6527900786814
TXN_000051,1477,2023-08-09,1094.1222037074408
TXN_000052,2258,2024-02-17,192.87622612768484
TXN_000053,1921,2022-07-03,1565.1317407831955
TXN_000054,1555,2022-10-04,1208.8923175820726
TXN_000055,1587,2023-07-22,2156.8226616649217
TXN_000056,1693,2023-07-23,3819.1750827460255
TXN_000057,1118,2023-01-21,2597.9001950173924
TXN_000058,2063,2023-05-08,3863.5198005422344
TXN_000059,1259,2022-10-22,1749.72819518002
TXN_000060,1948,2022-03-02,164.6045071639
TXN_000061,1755,2023-11-16,4618.648382644619
TXN_000062,1005,2023-09-14,1642.1010822309447
TXN_000063,1310,2022-05-26,2681.700423316467
TXN_000064,1065,2023-06-10,2399.152015839053
TXN_000065,2397,2022-07-02,2957.1169025442605
TXN_000066,1730,2022-11-11,4436.32410689948
TXN_000067,2169,2023-10-21,4349.4980629440415
TXN_000068,2257,2024-01-14,4907.048111038126
TXN_000069,1028,2024-03-19,2689.0094036203136
TXN_000070,1659,2023-10-14,4620.074548522831
TXN_000071,1899,2023-10-22,2464.0061543367237
TXN_000072,1903,2022-02-05,317.5788122746058
TXN_000073,2493,2024-02-28,816.3548514317475
TXN_000074,1360,2022-02-25,1736.5317582766725
TXN_000075,1961,2022-02-10,3654.7425229311652
TXN_000076,2378,2023-01-18,498.720361775889
TXN_000077,1025,2022-06-18,1871.6046745262233
TXN_000078,2313,2022-06-20,4913.569129863405
TXN_000079,1070,2023-09-10,3949.8338437552216
TXN_000080,2112,2024-01-09,2902.7790451552255
TXN_000081,1176,2023-04-01,402.674240685775
TXN_000082,1026,2023-08-21,171.63267206694104
TXN_000083,2312,2023-05-06,615.7163556766645
TXN_000084,1839,2022-10-21,1702.9372409495231
TXN_000085,1816,2023-10-20,3071.3273951952187
TXN_000086,1574,2022-09-21,1067.6528113745826
TXN_000087,1999,2022-09-04,350.64026387832536
TXN_000088,1530,2022-05-28,545.1567830759262
TXN_000089,2457,2023-03-17,2191.295264021506
TXN_000090,1492,2022-12-28,3888.3223705279956
TXN_000091,1277,2022-08-10,4123.328998021911
TXN_000092,1998,2023-10-20,1526.156838488453
TXN_000093,2369,2022-04-18,3350.8470170439073
